"","euftf","edlvdie","eduyrs","hinctnta","trstplt","imwbcnt","gndr","agea","brncntr","euftf_re","edu_cat"
"21325",7,16,19,NA,5,8,2,82,2,3,"Postgraduate Degree"
"21326",7,7,14,4,7,8,1,37,1,3,"Leaving Certificate"
"21327",5,14,16,1,0,9,2,49,2,5,"Bachelor Degree"
"21328",3,6,14,NA,6,8,1,83,1,7,"Leaving Certificate"
"21329",5,17,21,NA,6,7,1,63,1,5,"Postgraduate Degree"
"21330",8,6,16,NA,5,8,2,44,1,2,"Leaving Certificate"
"21331",7,17,16,NA,6,9,2,50,2,3,"Postgraduate Degree"
"21332",NA,7,14,NA,NA,5,2,37,1,NA,"Leaving Certificate"
"21333",5,16,19,NA,7,9,2,39,1,5,"Postgraduate Degree"
"21334",9,3,16,1,1,7,1,52,1,1,"Junior Cycle"
"21335",6,8,14,NA,4,5,1,61,2,4,"Leaving Certificate"
"21336",5,17,21,NA,6,8,2,52,1,5,"Postgraduate Degree"
"21337",8,17,21,NA,5,8,2,51,2,2,"Postgraduate Degree"
"21338",4,17,18,2,5,7,2,62,1,6,"Postgraduate Degree"
"21339",0,8,14,NA,4,5,1,47,1,10,"Leaving Certificate"
"21340",6,16,24,7,7,6,2,47,1,4,"Postgraduate Degree"
"21341",5,11,16,NA,5,5,2,54,1,5,"Advanced Certificate"
"21342",3,3,11,NA,5,5,2,16,2,7,"Junior Cycle"
"21343",5,14,18,NA,3,5,2,23,1,5,"Bachelor Degree"
"21344",3,5,14,3,5,7,2,22,1,7,"Leaving Certificate"
"21345",10,9,13,2,10,10,1,35,2,0,"Leaving Certificate"
"21346",5,14,18,10,3,9,1,25,1,5,"Bachelor Degree"
"21347",6,13,21,8,6,7,2,57,2,4,"Bachelor Degree"
"21348",2,2,12,1,6,3,2,90,1,8,"Junior Cycle"
"21349",1,17,16,7,0,9,2,43,2,9,"Postgraduate Degree"
"21350",7,7,14,3,1,8,1,50,1,3,"Leaving Certificate"
"21351",6,17,20,7,6,10,1,70,2,4,"Postgraduate Degree"
"21352",4,16,21,NA,3,8,2,59,2,6,"Postgraduate Degree"
"21353",5,5,15,NA,5,4,2,42,1,5,"Leaving Certificate"
"21354",10,8,13,NA,6,7,1,68,1,0,"Leaving Certificate"
"21355",8,13,15,6,6,8,2,59,1,2,"Bachelor Degree"
"21356",5,13,14,NA,4,5,2,60,2,5,"Bachelor Degree"
"21357",5,18,23,7,6,6,1,36,1,5,"Postgraduate Degree"
"21358",7,3,12,3,0,6,1,90,1,3,"Junior Cycle"
"21359",9,7,13,2,2,6,2,33,2,1,"Leaving Certificate"
"21360",8,6,14,4,5,7,1,85,1,2,"Leaving Certificate"
"21361",5,8,18,NA,5,4,2,NA,1,5,"Leaving Certificate"
"21362",8,10,16,4,2,3,2,28,1,2,"Advanced Certificate"
"21363",8,3,12,3,2,5,1,58,1,2,"Junior Cycle"
"21364",4,17,18,NA,5,5,2,33,1,6,"Postgraduate Degree"
"21365",3,3,10,7,5,8,2,72,1,7,"Junior Cycle"
"21366",5,5,12,4,5,10,2,67,1,5,"Leaving Certificate"
"21367",8,7,15,3,0,9,1,35,2,2,"Leaving Certificate"
"21368",5,2,6,NA,5,3,1,56,1,5,"Junior Cycle"
"21369",1,3,10,NA,0,4,1,57,1,9,"Junior Cycle"
"21370",7,12,15,7,8,6,2,56,1,3,"Advanced Certificate"
"21371",5,15,17,NA,5,8,1,64,1,5,"Bachelor Degree"
"21372",8,6,14,3,1,8,2,57,1,2,"Leaving Certificate"
"21373",5,14,18,NA,0,6,2,78,1,5,"Bachelor Degree"
"21374",8,8,NA,3,4,5,1,37,1,2,"Leaving Certificate"
"21375",1,1,5,2,4,NA,1,87,1,9,"Junior Cycle"
"21376",7,13,15,7,5,8,2,NA,1,3,"Bachelor Degree"
"21377",6,6,14,9,4,8,1,18,1,4,"Leaving Certificate"
"21378",9,7,14,2,5,8,1,58,1,1,"Leaving Certificate"
"21379",8,17,20,4,2,7,2,38,1,2,"Postgraduate Degree"
"21380",4,4,12,NA,3,5,1,68,1,6,"Junior Cycle"
"21381",6,14,16,10,5,9,2,49,1,4,"Bachelor Degree"
"21382",8,6,NA,4,0,4,2,26,1,2,"Leaving Certificate"
"21383",6,17,22,10,6,6,1,45,1,4,"Postgraduate Degree"
"21384",4,16,17,NA,2,5,2,32,1,6,"Postgraduate Degree"
"21385",2,7,18,3,3,5,1,54,1,8,"Leaving Certificate"
"21386",8,6,13,1,0,10,1,41,1,2,"Leaving Certificate"
"21387",0,17,35,1,2,4,1,67,2,10,"Postgraduate Degree"
"21388",5,10,17,8,5,8,2,26,1,5,"Advanced Certificate"
"21389",5,3,8,3,3,6,2,75,1,5,"Junior Cycle"
"21390",8,3,9,3,8,8,2,67,1,2,"Junior Cycle"
"21391",5,7,14,8,0,8,1,68,1,5,"Leaving Certificate"
"21392",5,13,18,10,3,9,2,55,1,5,"Bachelor Degree"
"21393",5,6,13,3,0,10,2,56,1,5,"Leaving Certificate"
"21394",8,7,13,5,6,10,1,40,1,2,"Leaving Certificate"
"21395",10,13,15,7,6,10,1,70,1,0,"Bachelor Degree"
"21396",7,7,18,3,1,7,2,28,1,3,"Leaving Certificate"
"21397",7,6,13,5,5,8,2,71,2,3,"Leaving Certificate"
"21398",8,6,13,2,5,4,1,74,1,2,"Leaving Certificate"
"21399",6,6,13,2,3,7,1,74,2,4,"Leaving Certificate"
"21400",8,13,23,4,3,8,2,50,1,2,"Bachelor Degree"
"21401",2,6,14,6,7,7,2,35,1,8,"Leaving Certificate"
"21402",5,7,13,NA,2,5,1,36,1,5,"Leaving Certificate"
"21403",0,2,6,4,6,NA,1,82,1,10,"Junior Cycle"
"21404",5,14,16,NA,5,NA,1,26,1,5,"Bachelor Degree"
"21405",5,7,15,4,0,10,1,NA,2,5,"Leaving Certificate"
"21406",NA,2,NA,NA,NA,NA,2,NA,1,NA,"Junior Cycle"
"21407",10,4,10,NA,8,5,1,26,1,0,"Junior Cycle"
"21408",NA,14,18,NA,5,5,2,24,2,NA,"Bachelor Degree"
"21409",9,14,19,9,7,10,1,63,1,1,"Bachelor Degree"
"21410",5,17,19,9,6,8,1,35,1,5,"Postgraduate Degree"
"21411",9,NA,16,NA,NA,9,1,34,2,1,NA
"21412",NA,NA,NA,NA,8,5,1,84,1,NA,NA
"21413",7,2,9,1,8,7,1,83,1,3,"Junior Cycle"
"21414",5,6,13,1,1,7,2,66,2,5,"Leaving Certificate"
"21415",2,3,10,NA,3,3,1,59,1,8,"Junior Cycle"
"21416",5,2,8,2,2,9,1,84,1,5,"Junior Cycle"
"21417",5,6,13,8,6,8,1,52,2,5,"Leaving Certificate"
"21418",1,3,10,2,5,8,2,69,1,9,"Junior Cycle"
"21419",8,14,17,7,5,9,1,67,1,2,"Bachelor Degree"
"21420",1,13,15,2,6,9,2,78,1,9,"Bachelor Degree"
"21421",6,15,NA,NA,3,8,2,58,2,4,"Bachelor Degree"
"21422",4,10,15,7,3,8,2,56,1,6,"Advanced Certificate"
"21423",NA,3,13,2,0,NA,2,51,1,NA,"Junior Cycle"
"21424",5,3,11,NA,4,5,2,71,1,5,"Junior Cycle"
"21425",6,12,NA,3,9,4,1,21,1,4,"Advanced Certificate"
"21426",8,17,20,10,6,7,2,32,1,2,"Postgraduate Degree"
"21427",2,2,9,NA,0,NA,2,74,1,8,"Junior Cycle"
"21428",5,6,NA,7,7,6,2,75,1,5,"Leaving Certificate"
"21429",5,6,15,2,5,6,1,63,1,5,"Leaving Certificate"
"21430",4,14,18,NA,4,4,2,60,1,6,"Bachelor Degree"
"21431",10,17,21,7,7,9,1,79,2,0,"Postgraduate Degree"
"21432",6,6,NA,NA,3,6,1,37,1,4,"Leaving Certificate"
"21433",5,8,19,8,4,9,1,40,2,5,"Leaving Certificate"
"21434",5,13,17,NA,3,8,2,47,1,5,"Bachelor Degree"
"21435",7,6,15,4,NA,9,2,24,1,3,"Leaving Certificate"
"21436",NA,9,16,NA,0,5,2,43,1,NA,"Leaving Certificate"
"21437",NA,2,8,NA,8,7,1,72,1,NA,"Junior Cycle"
"21438",5,3,10,1,4,6,1,65,1,5,"Junior Cycle"
"21439",5,17,21,9,6,10,1,45,1,5,"Postgraduate Degree"
"21440",NA,6,17,5,10,10,2,46,2,NA,"Leaving Certificate"
"21441",8,3,12,3,7,8,1,NA,1,2,"Junior Cycle"
"21442",8,10,19,NA,6,7,1,72,2,2,"Advanced Certificate"
"21443",6,6,15,7,7,6,1,45,1,4,"Leaving Certificate"
"21444",NA,7,13,NA,8,7,1,38,1,NA,"Leaving Certificate"
"21445",5,6,14,5,6,9,1,42,2,5,"Leaving Certificate"
"21446",NA,5,11,NA,7,7,2,58,1,NA,"Leaving Certificate"
"21447",10,13,18,NA,3,9,1,51,1,0,"Bachelor Degree"
"21448",5,1,8,1,3,5,1,68,1,5,"Junior Cycle"
"21449",5,3,10,2,6,7,2,56,1,5,"Junior Cycle"
"21450",10,6,20,10,4,8,1,25,2,0,"Leaving Certificate"
"21451",4,6,15,1,6,8,2,55,1,6,"Leaving Certificate"
"21452",3,17,19,NA,4,4,1,40,1,7,"Postgraduate Degree"
"21453",3,6,14,8,7,8,2,61,1,7,"Leaving Certificate"
"21454",7,14,21,5,5,7,1,65,1,3,"Bachelor Degree"
"21455",5,9,14,6,5,7,1,49,2,5,"Leaving Certificate"
"21456",8,17,22,10,6,10,2,50,1,2,"Postgraduate Degree"
"21457",7,14,16,1,2,7,1,68,1,3,"Bachelor Degree"
"21458",6,5,11,NA,0,5,1,64,1,4,"Leaving Certificate"
"21459",8,3,11,NA,3,10,1,16,1,2,"Junior Cycle"
"21460",6,2,6,5,5,8,1,68,1,4,"Junior Cycle"
"21461",5,6,20,NA,5,7,1,35,1,5,"Leaving Certificate"
"21462",5,11,14,5,6,8,2,57,1,5,"Advanced Certificate"
"21463",5,17,20,10,0,10,2,29,1,5,"Postgraduate Degree"
"21464",3,NA,NA,7,7,5,2,47,2,7,NA
"21465",9,3,12,4,5,7,1,81,1,1,"Junior Cycle"
"21466",NA,3,12,3,3,8,2,44,1,NA,"Junior Cycle"
"21467",5,13,13,NA,6,8,1,73,2,5,"Bachelor Degree"
"21468",5,3,11,6,1,7,2,53,1,5,"Junior Cycle"
"21469",5,5,9,5,3,4,1,46,1,5,"Leaving Certificate"
"21470",9,17,24,7,4,9,2,57,1,1,"Postgraduate Degree"
"21471",6,4,16,4,5,10,2,40,2,4,"Junior Cycle"
"21472",6,10,16,4,5,9,1,50,1,4,"Advanced Certificate"
"21473",5,13,14,NA,1,8,1,56,2,5,"Bachelor Degree"
"21474",1,3,11,7,2,2,2,30,1,9,"Junior Cycle"
"21475",10,17,22,9,3,9,2,40,1,0,"Postgraduate Degree"
"21476",5,17,26,3,6,7,1,53,1,5,"Postgraduate Degree"
"21477",7,3,11,4,0,7,1,71,1,3,"Junior Cycle"
"21478",6,3,14,2,NA,8,1,79,1,4,"Junior Cycle"
"21479",8,3,10,3,0,8,2,73,1,2,"Junior Cycle"
"21480",8,2,9,1,7,10,1,66,1,2,"Junior Cycle"
"21481",5,6,NA,6,8,7,2,59,1,5,"Leaving Certificate"
"21482",8,15,17,5,NA,10,1,35,2,2,"Bachelor Degree"
"21483",5,14,17,NA,5,5,2,80,1,5,"Bachelor Degree"
"21484",9,6,19,3,5,6,2,25,1,1,"Leaving Certificate"
"21485",8,1,7,1,1,3,2,72,1,2,"Junior Cycle"
"21486",6,10,15,NA,6,4,1,47,1,4,"Advanced Certificate"
"21487",5,14,17,2,6,6,2,34,1,5,"Bachelor Degree"
"21488",8,8,16,NA,0,8,1,73,1,2,"Leaving Certificate"
"21489",8,3,12,7,0,9,1,59,1,2,"Junior Cycle"
"21490",3,10,18,NA,3,4,1,47,1,7,"Advanced Certificate"
"21491",5,7,17,NA,4,8,2,NA,1,5,"Leaving Certificate"
"21492",4,6,18,NA,4,6,1,66,1,6,"Leaving Certificate"
"21493",2,6,14,2,3,NA,1,42,1,8,"Leaving Certificate"
"21494",5,17,18,5,5,9,2,43,2,5,"Postgraduate Degree"
"21495",2,2,10,1,NA,7,1,56,1,8,"Junior Cycle"
"21496",8,16,17,1,5,7,2,45,1,2,"Postgraduate Degree"
"21497",7,3,11,NA,4,7,1,16,1,3,"Junior Cycle"
"21498",5,17,20,10,6,8,2,55,1,5,"Postgraduate Degree"
"21499",6,6,14,1,4,7,2,76,2,4,"Leaving Certificate"
"21500",10,3,13,2,2,5,1,52,1,0,"Junior Cycle"
"21501",9,6,14,NA,2,2,2,19,1,1,"Leaving Certificate"
"21502",5,17,20,8,3,8,1,38,1,5,"Postgraduate Degree"
"21503",NA,2,9,NA,1,5,2,58,1,NA,"Junior Cycle"
"21504",7,17,18,9,3,5,2,38,1,3,"Postgraduate Degree"
"21505",5,9,14,NA,4,10,2,67,1,5,"Leaving Certificate"
"21506",7,17,16,6,1,4,1,76,2,3,"Postgraduate Degree"
"21507",5,13,15,NA,5,6,2,68,1,5,"Bachelor Degree"
"21508",7,4,13,2,4,7,2,69,1,3,"Junior Cycle"
"21509",NA,2,6,2,5,NA,1,80,1,NA,"Junior Cycle"
"21510",6,9,17,3,1,7,2,67,1,4,"Leaving Certificate"
"21511",8,2,8,NA,5,7,1,73,1,2,"Junior Cycle"
"21512",NA,3,8,3,2,2,1,NA,1,NA,"Junior Cycle"
"21513",8,7,13,NA,4,6,1,38,1,2,"Leaving Certificate"
"21514",6,16,21,6,5,3,2,67,1,4,"Postgraduate Degree"
"21515",7,5,11,NA,9,9,2,74,1,3,"Leaving Certificate"
"21516",6,15,18,7,5,8,1,73,1,4,"Bachelor Degree"
"21517",3,17,16,NA,0,4,2,27,1,7,"Postgraduate Degree"
"21518",5,17,22,4,7,10,2,63,1,5,"Postgraduate Degree"
"21519",5,2,9,NA,7,5,1,90,1,5,"Junior Cycle"
"21520",8,3,11,5,1,3,2,49,1,2,"Junior Cycle"
"21521",1,6,14,1,0,2,2,55,1,9,"Leaving Certificate"
"21522",5,5,16,4,10,8,1,39,1,5,"Leaving Certificate"
"21523",8,10,17,4,7,5,2,58,1,2,"Advanced Certificate"
"21524",4,17,20,6,4,9,1,50,1,6,"Postgraduate Degree"
"21525",6,16,23,2,2,5,2,25,2,4,"Postgraduate Degree"
"21526",7,7,14,NA,4,5,1,50,1,3,"Leaving Certificate"
"21527",5,3,13,NA,2,7,1,72,1,5,"Junior Cycle"
"21528",5,9,16,6,1,10,2,39,1,5,"Leaving Certificate"
"21529",7,7,17,NA,6,7,2,21,1,3,"Leaving Certificate"
"21530",4,15,16,9,6,7,2,63,1,6,"Bachelor Degree"
"21531",6,15,17,10,4,8,1,76,1,4,"Bachelor Degree"
"21532",8,13,14,2,1,6,1,75,2,2,"Bachelor Degree"
"21533",8,6,16,4,2,8,1,40,1,2,"Leaving Certificate"
"21534",5,4,NA,6,4,7,1,56,1,5,"Junior Cycle"
"21535",NA,2,10,NA,6,7,2,79,1,NA,"Junior Cycle"
"21536",9,17,19,8,4,10,1,40,1,1,"Postgraduate Degree"
"21537",NA,3,11,NA,5,5,1,66,1,NA,"Junior Cycle"
"21538",2,7,14,6,3,3,1,51,1,8,"Leaving Certificate"
"21539",7,17,19,4,5,7,2,50,1,3,"Postgraduate Degree"
"21540",5,6,14,NA,3,7,1,20,1,5,"Leaving Certificate"
"21541",6,17,17,NA,NA,8,1,31,2,4,"Postgraduate Degree"
"21542",3,6,14,4,3,6,1,19,1,7,"Leaving Certificate"
"21543",7,15,18,NA,NA,8,2,38,2,3,"Bachelor Degree"
"21544",10,15,16,NA,4,8,2,36,1,0,"Bachelor Degree"
"21545",1,5,11,NA,0,4,1,55,1,9,"Leaving Certificate"
"21546",9,17,19,4,4,10,2,29,2,1,"Postgraduate Degree"
"21547",0,6,14,NA,NA,0,2,78,1,10,"Leaving Certificate"
"21548",2,2,8,2,0,1,2,72,1,8,"Junior Cycle"
"21549",6,3,8,NA,6,6,1,81,1,4,"Junior Cycle"
"21550",5,6,15,NA,1,5,2,55,1,5,"Leaving Certificate"
"21551",6,7,14,NA,4,8,2,48,1,4,"Leaving Certificate"
"21552",5,10,15,8,7,6,1,49,1,5,"Advanced Certificate"
"21553",5,17,20,1,1,5,1,67,1,5,"Postgraduate Degree"
"21554",5,6,15,2,2,5,2,64,1,5,"Leaving Certificate"
"21555",5,3,10,2,5,5,2,79,1,5,"Junior Cycle"
"21556",6,2,10,3,0,4,1,73,1,4,"Junior Cycle"
"21557",8,17,18,6,9,9,1,76,1,2,"Postgraduate Degree"
"21558",10,3,14,1,5,6,2,52,1,0,"Junior Cycle"
"21559",9,6,14,5,3,10,2,64,1,1,"Leaving Certificate"
"21560",3,16,17,10,5,8,2,38,1,7,"Postgraduate Degree"
"21561",6,8,17,NA,6,7,1,43,1,4,"Leaving Certificate"
"21562",2,17,21,NA,9,8,1,80,2,8,"Postgraduate Degree"
"21563",7,7,14,5,0,9,2,37,1,3,"Leaving Certificate"
"21564",NA,NA,16,NA,0,5,1,NA,1,NA,NA
"21565",7,6,14,3,0,9,2,48,2,3,"Leaving Certificate"
"21566",6,13,17,6,3,7,1,74,1,4,"Bachelor Degree"
"21567",8,14,18,7,9,9,1,76,1,2,"Bachelor Degree"
"21568",2,3,10,NA,0,6,2,70,1,8,"Junior Cycle"
"21569",8,6,13,8,7,8,2,64,1,2,"Leaving Certificate"
"21570",4,3,13,3,4,9,2,63,1,6,"Junior Cycle"
"21571",6,15,18,8,1,10,2,35,2,4,"Bachelor Degree"
"21572",9,7,20,3,0,8,2,38,1,1,"Leaving Certificate"
"21573",1,17,20,6,3,5,1,50,1,9,"Postgraduate Degree"
"21574",4,13,16,NA,3,5,2,45,1,6,"Bachelor Degree"
"21575",4,4,10,2,0,2,2,65,1,6,"Junior Cycle"
"21576",5,2,10,NA,8,7,1,84,1,5,"Junior Cycle"
"21577",7,14,18,NA,6,10,1,32,1,3,"Bachelor Degree"
"21578",5,4,12,6,6,5,1,40,1,5,"Junior Cycle"
"21579",8,17,25,9,5,9,2,41,1,2,"Postgraduate Degree"
"21580",NA,15,17,8,4,8,1,26,2,NA,"Bachelor Degree"
"21581",3,16,25,10,5,8,1,71,1,7,"Postgraduate Degree"
"21582",NA,13,16,NA,NA,NA,1,54,1,NA,"Bachelor Degree"
"21583",9,15,18,7,4,5,2,30,2,1,"Bachelor Degree"
"21584",6,6,13,10,8,5,1,60,1,4,"Leaving Certificate"
"21585",5,16,16,NA,0,10,1,52,2,5,"Postgraduate Degree"
"21586",4,7,14,NA,8,7,2,30,1,6,"Leaving Certificate"
"21587",2,6,15,2,3,5,2,47,1,8,"Leaving Certificate"
"21588",7,17,16,NA,2,0,1,22,1,3,"Postgraduate Degree"
"21589",1,7,13,4,7,5,1,73,1,9,"Leaving Certificate"
"21590",9,16,18,NA,7,9,2,37,1,1,"Postgraduate Degree"
"21591",3,5,12,2,5,2,2,63,1,7,"Leaving Certificate"
"21592",6,2,10,1,8,7,2,68,2,4,"Junior Cycle"
"21593",6,8,16,7,6,5,1,71,2,4,"Leaving Certificate"
"21594",7,17,25,8,7,8,1,66,1,3,"Postgraduate Degree"
"21595",5,17,21,NA,7,8,1,48,1,5,"Postgraduate Degree"
"21596",8,1,9,3,6,9,2,67,1,2,"Junior Cycle"
"21597",NA,6,14,NA,0,8,2,27,2,NA,"Leaving Certificate"
"21598",5,1,8,2,5,6,1,70,1,5,"Junior Cycle"
"21599",5,7,14,NA,5,5,2,61,1,5,"Leaving Certificate"
"21600",9,7,13,3,8,9,1,39,2,1,"Leaving Certificate"
"21601",5,6,13,7,1,5,2,67,1,5,"Leaving Certificate"
"21602",4,11,21,8,5,7,1,46,1,6,"Advanced Certificate"
"21603",8,2,12,2,4,8,2,72,1,2,"Junior Cycle"
"21604",5,7,13,NA,3,6,2,62,1,5,"Leaving Certificate"
"21605",NA,2,6,NA,9,3,1,35,1,NA,"Junior Cycle"
"21606",6,6,14,4,4,7,1,25,1,4,"Leaving Certificate"
"21607",8,10,15,NA,6,9,1,67,1,2,"Advanced Certificate"
"21608",5,6,15,NA,0,3,1,19,1,5,"Leaving Certificate"
"21609",7,17,19,3,7,10,1,27,1,3,"Postgraduate Degree"
"21610",2,16,20,3,5,7,2,66,1,8,"Postgraduate Degree"
"21611",7,15,22,10,1,7,1,43,1,3,"Bachelor Degree"
"21612",7,15,18,7,3,5,1,NA,1,3,"Bachelor Degree"
"21613",5,6,13,NA,3,5,2,78,1,5,"Leaving Certificate"
"21614",7,15,24,1,2,10,2,51,1,3,"Bachelor Degree"
"21615",8,7,NA,6,2,7,1,61,1,2,"Leaving Certificate"
"21616",5,10,14,NA,7,7,2,58,1,5,"Advanced Certificate"
"21617",10,16,18,7,5,8,2,45,2,0,"Postgraduate Degree"
"21618",5,16,19,5,4,6,1,71,1,5,"Postgraduate Degree"
"21619",NA,12,14,8,7,8,2,39,2,NA,"Advanced Certificate"
"21620",10,3,12,1,8,6,2,72,1,0,"Junior Cycle"
"21621",8,6,15,2,0,7,2,33,1,2,"Leaving Certificate"
"21622",5,3,12,NA,7,8,1,16,1,5,"Junior Cycle"
"21623",6,14,NA,7,7,6,2,54,2,4,"Bachelor Degree"
"21624",5,15,18,10,7,8,1,38,1,5,"Bachelor Degree"
"21625",7,2,7,6,7,7,1,79,1,3,"Junior Cycle"
"21626",7,17,18,NA,6,8,2,54,1,3,"Postgraduate Degree"
"21627",8,17,20,1,1,8,2,66,2,2,"Postgraduate Degree"
"21628",0,7,19,NA,0,0,2,46,1,10,"Leaving Certificate"
"21629",9,9,14,NA,7,7,1,62,1,1,"Leaving Certificate"
"21630",8,6,14,2,7,5,1,NA,1,2,"Leaving Certificate"
"21631",6,13,15,NA,6,8,1,50,1,4,"Bachelor Degree"
"21632",8,4,12,NA,5,8,1,90,1,2,"Junior Cycle"
"21633",2,6,18,NA,5,7,2,24,1,8,"Leaving Certificate"
"21634",8,16,19,6,7,8,1,53,1,2,"Postgraduate Degree"
"21635",7,7,13,NA,NA,8,1,15,2,3,"Leaving Certificate"
"21636",8,11,15,7,2,10,1,57,1,2,"Advanced Certificate"
"21637",8,2,8,4,7,4,2,73,1,2,"Junior Cycle"
"21638",0,15,18,7,5,7,1,52,1,10,"Bachelor Degree"
"21639",7,5,7,5,4,4,2,51,1,3,"Leaving Certificate"
"21640",5,5,8,NA,1,8,2,68,1,5,"Leaving Certificate"
"21641",6,10,15,3,7,7,2,68,1,4,"Advanced Certificate"
"21642",5,3,10,NA,0,3,1,50,1,5,"Junior Cycle"
"21643",4,16,18,7,5,9,2,60,1,6,"Postgraduate Degree"
"21644",7,17,30,NA,8,5,1,74,1,3,"Postgraduate Degree"
"21645",5,7,15,2,0,10,2,35,1,5,"Leaving Certificate"
"21646",8,16,17,8,5,10,2,26,1,2,"Postgraduate Degree"
"21647",5,18,25,7,1,10,1,39,2,5,"Postgraduate Degree"
"21648",0,3,12,3,2,5,2,22,1,10,"Junior Cycle"
"21649",NA,7,22,6,5,7,2,37,1,NA,"Leaving Certificate"
"21650",2,12,15,NA,1,0,1,73,2,8,"Advanced Certificate"
"21651",8,14,16,9,6,7,1,34,1,2,"Bachelor Degree"
"21652",5,3,11,NA,0,4,1,65,1,5,"Junior Cycle"
"21653",7,15,18,NA,1,5,1,35,1,3,"Bachelor Degree"
"21654",10,17,22,8,0,4,2,48,1,0,"Postgraduate Degree"
"21655",3,2,10,3,2,5,1,48,1,7,"Junior Cycle"
"21656",8,12,14,3,4,7,2,39,2,2,"Advanced Certificate"
"21657",5,13,19,1,3,8,2,68,1,5,"Bachelor Degree"
"21658",7,2,8,3,4,2,2,74,1,3,"Junior Cycle"
"21659",7,14,17,8,4,9,2,29,2,3,"Bachelor Degree"
"21660",0,13,15,7,6,7,1,58,1,10,"Bachelor Degree"
"21661",5,13,18,NA,0,2,2,50,1,5,"Bachelor Degree"
"21662",NA,7,15,5,6,9,2,20,1,NA,"Leaving Certificate"
"21663",NA,6,14,NA,5,6,2,49,1,NA,"Leaving Certificate"
"21664",10,6,14,6,5,5,2,43,2,0,"Leaving Certificate"
"21665",NA,6,13,NA,7,NA,2,67,1,NA,"Leaving Certificate"
"21666",7,4,12,3,6,3,2,64,2,3,"Junior Cycle"
"21667",3,16,17,6,5,3,2,55,1,7,"Postgraduate Degree"
"21668",NA,2,11,1,3,NA,2,81,1,NA,"Junior Cycle"
"21669",5,13,21,NA,1,5,2,38,1,5,"Bachelor Degree"
"21670",8,16,16,4,4,9,2,67,1,2,"Postgraduate Degree"
"21671",10,6,15,NA,8,8,1,71,1,0,"Leaving Certificate"
"21672",7,13,16,3,7,5,2,71,1,3,"Bachelor Degree"
"21673",8,17,21,NA,7,8,2,48,1,2,"Postgraduate Degree"
"21674",5,17,21,10,7,7,1,43,1,5,"Postgraduate Degree"
"21675",6,6,13,9,6,7,1,79,1,4,"Leaving Certificate"
"21676",6,2,6,4,4,8,1,84,1,4,"Junior Cycle"
"21677",8,5,14,3,0,8,2,71,1,2,"Leaving Certificate"
"21678",5,10,17,4,0,7,2,55,2,5,"Advanced Certificate"
"21679",9,15,16,9,4,8,2,35,2,1,"Bachelor Degree"
"21680",5,17,19,NA,5,5,2,75,1,5,"Postgraduate Degree"
"21681",NA,2,9,4,0,5,2,70,1,NA,"Junior Cycle"
"21682",8,5,15,3,8,9,1,19,2,2,"Leaving Certificate"
"21683",NA,1,4,1,4,NA,1,52,1,NA,"Junior Cycle"
"21684",8,8,16,10,2,8,1,43,1,2,"Leaving Certificate"
"21685",5,3,9,3,5,10,1,17,1,5,"Junior Cycle"
"21686",5,3,13,NA,7,7,1,18,1,5,"Junior Cycle"
"21687",8,6,13,2,0,1,2,29,1,2,"Leaving Certificate"
"21688",5,10,15,1,3,7,2,35,1,5,"Advanced Certificate"
"21689",1,5,12,3,5,8,1,60,2,9,"Leaving Certificate"
"21690",3,7,18,6,2,4,1,38,1,7,"Leaving Certificate"
"21691",6,6,16,3,6,7,1,22,2,4,"Leaving Certificate"
"21692",5,8,16,NA,5,3,1,21,1,5,"Leaving Certificate"
"21693",6,6,14,NA,6,3,2,41,1,4,"Leaving Certificate"
"21694",8,7,16,3,5,8,2,40,1,2,"Leaving Certificate"
"21695",7,3,12,2,0,5,1,17,1,3,"Junior Cycle"
"21696",0,5,12,NA,2,6,2,74,1,10,"Leaving Certificate"
"21697",5,3,10,1,6,10,2,87,1,5,"Junior Cycle"
"21698",2,18,22,10,3,7,1,62,1,8,"Postgraduate Degree"
"21699",6,8,14,NA,4,6,1,60,1,4,"Leaving Certificate"
"21700",5,7,15,NA,2,5,2,69,1,5,"Leaving Certificate"
"21701",6,15,16,4,3,8,2,78,1,4,"Bachelor Degree"
"21702",3,6,13,6,7,7,2,64,1,7,"Leaving Certificate"
"21703",10,16,25,3,0,5,2,39,1,0,"Postgraduate Degree"
"21704",NA,2,9,1,5,NA,2,85,1,NA,"Junior Cycle"
"21705",9,17,19,9,7,7,1,44,2,1,"Postgraduate Degree"
"21706",3,3,14,3,0,1,2,58,1,7,"Junior Cycle"
"21707",NA,13,14,NA,0,5,2,41,1,NA,"Bachelor Degree"
"21708",9,13,17,4,NA,10,1,56,2,1,"Bachelor Degree"
"21709",9,15,17,6,2,7,2,26,1,1,"Bachelor Degree"
"21710",8,8,14,NA,4,7,1,68,1,2,"Leaving Certificate"
"21711",10,1,6,1,0,9,1,61,1,0,"Junior Cycle"
"21712",4,16,17,10,2,5,1,64,1,6,"Postgraduate Degree"
"21713",9,17,17,5,8,9,1,57,1,1,"Postgraduate Degree"
"21714",NA,13,18,3,4,9,2,63,1,NA,"Bachelor Degree"
"21715",4,17,19,NA,5,6,1,60,1,6,"Postgraduate Degree"
"21716",6,16,19,NA,5,7,2,24,1,4,"Postgraduate Degree"
